# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	ded63354	332581440	55268	55270	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322566008	7322566089	-	-	-	-	-
1	ded63354	332582190	55271	55292	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322572448	7322574844	-	6440	-	-	-
2	ded63354	332582940	55293	55314	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322581078	7322583456	-	8630	-	-	-
3	ded63354	332583690	55315	55336	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322589886	7322592307	-	8808	-	-	-
4	ded63354	332584440	55337	55352	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322598670	7322600415	-	8784	-	-	-
5	ded63354	332585190	55353	55368	16	0	7658	21093	0	0	84	0	0	0	509	202018248	202029276	202030369	7322608903	7322607131	7322608904	-	8461	11028	1093	2316
6	ded63354	332585940	55369	55384	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322614098	7322615773	-	6967	-	-	-
7	ded63354	332586690	55385	55399	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322622452	7322624068	-	8354	-	-	-
8	ded63354	332587440	55400	55420	21	0	7661	28850	0	0	108	0	0	0	512	202043266	202053276	202054316	7322633474	7322631157	7322633475	24000	8705	10010	1040	2887
9	ded63354	332588190	55421	55441	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322639662	7322642026	-	8505	-	-	-
10	ded63354	332588940	55442	55463	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322647507	7322649904	-	7845	-	-	-
11	ded63354	332589690	55464	55485	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322656487	7322658876	-	8980	-	-	-
12	ded63354	332590440	55486	55507	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322664606	7322667023	-	8119	-	-	-
13	ded63354	332591190	55508	55529	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322672704	7322675110	-	8098	-	-	-
14	ded63354	332591940	55530	55551	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322681223	7322683644	-	8519	-	-	-
15	ded63354	332592690	55552	55567	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322689216	7322690943	-	7993	-	-	-
16	ded63354	332593440	55568	55583	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322697743	7322699340	-	8527	-	-	-
17	ded63354	332594190	55584	55599	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322706178	7322707856	-	8435	-	-	-
18	ded63354	332594940	55600	55614	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322713958	7322715593	-	7780	-	-	-
19	ded63354	332595690	55615	55635	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322722230	7322724540	-	8272	-	-	-
20	ded63354	332596440	55636	55656	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322731400	7322733752	-	9170	-	-	-
21	ded63354	332597190	55657	55678	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322739432	7322741816	-	8032	-	-	-
22	ded63354	332597940	55679	55700	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322748494	7322750886	-	9062	-	-	-
23	ded63354	332598690	55701	55722	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322757499	7322760001	-	9005	-	-	-
24	ded63354	332599440	55723	55744	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322764776	7322767190	-	7277	-	-	-
25	ded63354	332600190	55745	55766	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322772520	7322774914	-	7744	-	-	-
26	ded63354	332600940	55767	55782	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322781772	7322783484	-	9252	-	-	-
27	ded63354	332601690	55783	55798	16	0	7680	21138	0	0	86	0	0	0	531	202202052	202212741	202213641	7322792499	7322790807	7322792500	159465	9035	10689	900	2447
28	ded63354	332602440	55799	55813	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322806460	7322808083	-	15653	-	-	-
29	ded63354	332603190	55814	55834	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322814410	7322816756	-	7950	-	-	-
30	ded63354	332603940	55835	55856	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322822746	7322825116	-	8336	-	-	-
31	ded63354	332604690	55857	55878	22	0	7684	30003	0	0	110	0	0	0	535	202243797	202253852	202254928	7322834159	7322831739	7322834160	41111	8993	10055	1076	2996
32	ded63354	332605440	55879	55900	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322839717	7322842098	-	7978	-	-	-
33	ded63354	332606190	55901	55922	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322848559	7322851019	-	8842	-	-	-
34	ded63354	332606940	55923	55938	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322856706	7322858431	-	8147	-	-	-
35	ded63354	332607690	55939	55954	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322865203	7322866882	-	8497	-	-	-
36	ded63354	332608440	55955	55969	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322872638	7322874289	-	7435	-	-	-
37	ded63354	332609190	55970	55990	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322883164	7322885497	-	10526	-	-	-
38	ded63354	332609940	55991	56012	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322898630	7322901012	-	15466	-	-	-
39	ded63354	332610690	56013	56034	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322906887	7322909297	-	8257	-	-	-
40	ded63354	332611440	56035	56056	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322914717	7322917110	-	7830	-	-	-
41	ded63354	332612190	56057	56078	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322923319	7322925722	-	8602	-	-	-
42	ded63354	332612940	56079	56094	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322931835	7322933569	-	8516	-	-	-
43	ded63354	332613690	56095	56109	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322940222	7322941871	-	8387	-	-	-
44	ded63354	332614440	56110	56124	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322947638	7322949375	-	7416	-	-	-
45	ded63354	332615190	56125	56145	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322957110	7322959423	-	9472	-	-	-
46	ded63354	332615940	56146	56167	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322965118	7322967552	-	8008	-	-	-
47	ded63354	332616690	56168	56189	22	0	7700	30004	0	0	110	0	0	0	551	202385871	202395580	202396224	7322975835	7322973413	7322975836	141728	8295	9709	644	2944
48	ded63354	332617440	56190	56211	22	0	7701	29400	0	0	109	0	0	0	552	202394213	202405191	202406397	7322985631	7322983261	7322985632	9611	9848	10978	1206	3129
49	ded63354	332618190	56212	56233	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322990118	7322992493	-	6857	-	-	-
50	ded63354	332618940	56234	56255	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7322998641	7323001045	-	8523	-	-	-
51	ded63354	332619690	56256	56277	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323009207	7323011623	-	10566	-	-	-
52	ded63354	332620440	56278	56293	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323015154	7323016896	-	5947	-	-	-
53	ded63354	332621190	56294	56309	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323023532	7323025219	-	8378	-	-	-
54	ded63354	332621940	56310	56325	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323032322	7323033990	-	8790	-	-	-
55	ded63354	332622690	56326	56340	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323039825	7323041458	-	7503	-	-	-
56	ded63354	332623440	56341	56361	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323048864	7323051176	-	9039	-	-	-
57	ded63354	332624190	56362	56383	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323057348	7323059690	-	8484	-	-	-
58	ded63354	332624940	56384	56405	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323065374	7323067779	-	8026	-	-	-
59	ded63354	332625690	56406	56427	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323074041	7323076433	-	8667	-	-	-
60	ded63354	332626440	56428	56449	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323082378	7323084754	-	8337	-	-	-
61	ded63354	332627190	56450	56471	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323090417	7323092824	-	8039	-	-	-
62	ded63354	332627940	56472	56493	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323099311	7323101691	-	8894	-	-	-
63	ded63354	332628690	56494	56515	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323115898	7323118190	-	16587	-	-	-
64	ded63354	332629440	56516	56537	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323123875	7323126297	-	7977	-	-	-
65	ded63354	332630190	56538	56553	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323132332	7323134071	-	8457	-	-	-
66	ded63354	332630940	56554	56569	16	0	7719	21077	0	0	85	0	0	0	570	202552976	202562611	202563150	7323142177	7323140519	7323142178	157420	8187	9635	539	2255
67	ded63354	332631690	56570	56585	16	0	7720	21053	0	0	86	0	0	0	571	202561305	202570741	202571371	7323150296	7323148620	7323150297	8130	8101	9436	630	2244
68	ded63354	332632440	56586	56607	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323159058	7323161484	-	10438	-	-	-
69	ded63354	332633190	56608	56629	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323165568	7323167978	-	6510	-	-	-
70	ded63354	332633940	56630	56651	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323173984	7323176368	-	8416	-	-	-
71	ded63354	332634690	56652	56673	22	0	7724	29494	0	0	108	0	0	0	575	202594733	202604965	202606643	7323185249	7323182881	7323185250	34224	8897	10232	1678	2973
72	ded63354	332635440	56674	56695	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323189984	7323192369	-	7103	-	-	-
73	ded63354	332636190	56696	56717	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323198946	7323201344	-	8962	-	-	-
74	ded63354	332636940	56718	56739	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323207766	7323210174	-	8820	-	-	-
75	ded63354	332637690	56740	56755	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323215725	7323217467	-	7959	-	-	-
76	ded63354	332638440	56756	56771	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323224056	7323225721	-	8331	-	-	-
77	ded63354	332639190	56772	56786	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323232520	7323234162	-	8464	-	-	-
78	ded63354	332639940	56787	56807	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7323240463	7323242768	-	7943	-	-	-
