[probe] RTP :5600  sidecar local :42693 → 192.168.1.13:6666  sub-TTL 5 s
# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	ded63354	325478940	51500	51505	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240310858	7240311735	-	-	-	-	-
[sync] offset=-7120574551 µs  rtt=1258 µs
1	ded63354	325479690	51506	51514	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240317801	7240318715	-	6943	-	-	-
2	ded63354	325480440	51515	51521	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240325750	7240326334	-	7949	-	-	-
3	ded63354	325481190	51522	51527	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240334894	7240335460	-	9144	-	-	-
4	ded63354	325481940	51528	51533	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240342062	7240342601	-	7168	-	-	-
5	ded63354	325482690	51534	51539	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240350186	7240350714	-	8124	-	-	-
6	ded63354	325483440	51540	51545	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240359544	7240360068	-	9358	-	-	-
7	ded63354	325484190	51546	51554	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240367366	7240368288	-	7822	-	-	-
8	ded63354	325484940	51555	51560	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240375996	7240376570	-	8630	-	-	-
9	ded63354	325485690	51561	51566	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240385128	7240385663	-	9132	-	-	-
10	ded63354	325486440	51567	51572	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240393596	7240394144	-	8468	-	-	-
11	ded63354	325487190	51573	51578	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240401349	7240401899	-	7753	-	-	-
12	ded63354	325487940	51579	51584	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240410144	7240410691	-	8795	-	-	-
13	ded63354	325488690	51585	51590	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240417937	7240418462	-	7793	-	-	-
14	ded63354	325489440	51591	51599	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240425753	7240426654	-	7816	-	-	-
15	ded63354	325490190	51600	51605	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240434953	7240435501	-	9200	-	-	-
16	ded63354	325490940	51606	51611	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240442310	7240442844	-	7357	-	-	-
17	ded63354	325491690	51612	51617	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240450399	7240450951	-	8089	-	-	-
18	ded63354	325492440	51618	51623	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240459523	7240460046	-	9124	-	-	-
19	ded63354	325493190	51624	51629	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240467350	7240467837	-	7827	-	-	-
20	ded63354	325493940	51630	51638	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240476119	7240477037	-	8769	-	-	-
21	ded63354	325494690	51639	51644	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240484949	7240485501	-	8830	-	-	-
22	ded63354	325495440	51645	51650	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240492380	7240492928	-	7431	-	-	-
23	ded63354	325496190	51651	51656	6	0	22	7855	0	0	95	0	0	0	737	119916520	119925270	119925542	7240501102	7240500572	7240501103	-	8192	8750	272	1282
24	ded63354	325496940	51657	51662	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240509970	7240510526	-	9398	-	-	-
25	ded63354	325497690	51663	51668	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240517812	7240518330	-	7842	-	-	-
[sync] offset=-7120575021 µs  rtt=544 µs
26	ded63354	325498440	51669	51677	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240526504	7240527405	-	8692	-	-	-
27	ded63354	325499190	51678	51683	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240534955	7240535536	-	8451	-	-	-
28	ded63354	325499940	51684	51689	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240543353	7240543892	-	8398	-	-	-
29	ded63354	325500690	51690	51695	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240550712	7240551249	-	7359	-	-	-
30	ded63354	325501440	51696	51701	6	0	29	7888	0	0	96	0	0	0	744	119975015	119984827	119985094	7240560665	7240560116	7240560666	59557	9404	9812	267	818
31	ded63354	325502190	51702	51707	6	0	30	7700	0	0	94	0	0	0	745	119983412	119992261	119992531	7240568090	7240567574	7240568091	7434	7458	8849	270	809
32	ded63354	325502940	51708	51716	9	0	31	12576	0	0	135	0	0	0	746	119991711	120000750	120001111	7240576990	7240576054	7240576991	8489	8480	9039	361	1220
33	ded63354	325503690	51717	51723	7	0	32	8457	0	0	99	0	0	0	747	120000067	120011791	120012159	7240587757	7240587148	7240587758	11041	11094	11724	368	946
34	ded63354	325504440	51724	51729	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240601335	7240601814	-	14187	-	-	-
35	ded63354	325505190	51730	51735	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240610364	7240610926	-	9029	-	-	-
36	ded63354	325505940	51736	51741	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240618363	7240618916	-	7999	-	-	-
37	ded63354	325506690	51742	51747	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240624342	7240624793	-	5979	-	-	-
38	ded63354	325507440	51748	51753	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240635767	7240636300	-	11425	-	-	-
39	ded63354	325508190	51754	51759	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240643546	7240644102	-	7779	-	-	-
40	ded63354	325508940	51760	51765	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240651020	7240651574	-	7474	-	-	-
41	ded63354	325509690	51766	51771	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240661451	7240662307	-	10431	-	-	-
42	ded63354	325510440	51772	51777	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240667468	7240667946	-	6017	-	-	-
43	ded63354	325511190	51778	51786	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240676403	7240677311	-	8935	-	-	-
44	ded63354	325511940	51787	51793	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240685537	7240686104	-	9134	-	-	-
45	ded63354	325512690	51794	51799	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240692797	7240693358	-	7260	-	-	-
46	ded63354	325513440	51800	51805	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240703619	7240704128	-	10822	-	-	-
47	ded63354	325514190	51806	51811	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240718228	7240718760	-	14609	-	-	-
[sync] offset=-7120575021 µs  rtt=561 µs
48	ded63354	325514940	51812	51817	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240726317	7240726842	-	8089	-	-	-
49	ded63354	325515690	51818	51823	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240735867	7240736397	-	9550	-	-	-
50	ded63354	325516440	51824	51829	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240743189	7240743666	-	7322	-	-	-
51	ded63354	325517190	51830	51838	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240751312	7240752185	-	8123	-	-	-
52	ded63354	325517940	51839	51845	7	0	51	8491	0	0	100	0	0	0	766	120175544	120185496	120185730	7240761357	7240760753	7240761358	173705	9441	9952	234	841
53	ded63354	325518690	51846	51851	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240768849	7240769412	-	8096	-	-	-
54	ded63354	325519440	51852	51857	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240776413	7240776960	-	7564	-	-	-
55	ded63354	325520190	51858	51863	6	0	54	7859	0	0	96	0	0	0	769	120200603	120211155	120211637	7240787150	7240786628	7240787151	25659	10215	10552	482	975
56	ded63354	325520940	51864	51869	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240796066	7240796600	-	9438	-	-	-
57	ded63354	325521690	51870	51875	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240802289	7240802820	-	6223	-	-	-
58	ded63354	325522440	51876	51885	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240811143	7240812080	-	8854	-	-	-
59	ded63354	325523190	51886	51891	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240818269	7240818848	-	7126	-	-	-
60	ded63354	325523940	51892	51898	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240826417	7240827075	-	8148	-	-	-
61	ded63354	325524690	51899	51905	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240836326	7240837010	-	9909	-	-	-
62	ded63354	325525440	51906	51911	6	0	61	8254	0	0	97	0	0	0	776	120259107	120268131	120268376	7240844004	7240843411	7240844007	56976	7085	9024	245	855
63	ded63354	325526190	51912	51917	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240851522	7240852074	-	8111	-	-	-
64	ded63354	325526940	51918	51923	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240861013	7240861545	-	9491	-	-	-
65	ded63354	325527690	51924	51929	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240869107	7240869659	-	8094	-	-	-
66	ded63354	325528440	51930	51935	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240876912	7240877467	-	7805	-	-	-
67	ded63354	325529190	51936	51941	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240885924	7240886458	-	9012	-	-	-
68	ded63354	325529940	51942	51947	6	0	67	7703	0	0	94	0	0	0	782	120309238	120318683	120318943	7240894516	7240893981	7240894517	50552	8057	9445	260	813
69	ded63354	325530690	51948	51956	9	0	68	12286	0	0	133	0	0	0	783	120317575	120326996	120327566	7240903330	7240902431	7240903331	8313	8450	9421	570	1314
70	ded63354	325531440	51957	51962	6	0	69	8355	0	0	99	0	0	0	784	120325932	120336794	120337580	7240912949	7240912367	7240912950	9798	9936	10862	786	1135
71	ded63354	325532190	51963	51968	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240919575	7240920131	-	7208	-	-	-
[sync] offset=-7120575021 µs  rtt=582 µs
72	ded63354	325532940	51969	51974	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240926745	7240927274	-	7170	-	-	-
73	ded63354	325533690	51975	51980	6	0	72	8009	0	0	96	0	0	0	787	120350994	120361146	120361397	7240937018	7240936437	7240937019	24352	9692	10152	251	852
74	ded63354	325534440	51981	51986	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240943477	7240944014	-	7040	-	-	-
75	ded63354	325535190	51987	51992	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240952301	7240952820	-	8824	-	-	-
76	ded63354	325535940	51993	51998	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240961325	7240961853	-	9024	-	-	-
77	ded63354	325536690	51999	52007	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240969419	7240970312	-	8094	-	-	-
78	ded63354	325537440	52008	52013	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240977287	7240977863	-	7868	-	-	-
79	ded63354	325538190	52014	52019	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240986237	7240986777	-	8950	-	-	-
80	ded63354	325538940	52020	52025	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7240994172	7240994711	-	7935	-	-	-
81	ded63354	325539690	52026	52031	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241002058	7241002591	-	7886	-	-	-
82	ded63354	325540440	52032	52037	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241011228	7241011753	-	9170	-	-	-
83	ded63354	325541190	52038	52046	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241019294	7241020217	-	8066	-	-	-
84	ded63354	325541940	52047	52053	7	0	83	8450	0	0	99	0	0	0	798	120442915	120452016	120452359	7241027912	7241027306	7241027913	90870	8012	9101	343	876
85	ded63354	325542690	52054	52059	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241036306	7241036863	-	9000	-	-	-
86	ded63354	325543440	52060	52065	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241044208	7241044768	-	7902	-	-	-
87	ded63354	325544190	52066	52071	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241052074	7241052620	-	7866	-	-	-
88	ded63354	325544940	52072	52077	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241061411	7241061955	-	9337	-	-	-
89	ded63354	325545690	52078	52083	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241069769	7241070306	-	8358	-	-	-
90	ded63354	325546440	52084	52089	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241077166	7241077699	-	7397	-	-	-
91	ded63354	325547190	52090	52098	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241087048	7241087959	-	9882	-	-	-
92	ded63354	325547940	52099	52104	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241096486	7241097058	-	9438	-	-	-
93	ded63354	325548690	52105	52110	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241102644	7241103209	-	6158	-	-	-
94	ded63354	325549440	52111	52116	6	0	93	7707	0	0	94	0	0	0	808	120526489	120536213	120536467	7241112045	7241111508	7241112046	84197	8864	9724	254	812
95	ded63354	325550190	52117	52122	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241118929	7241119479	-	7421	-	-	-
96	ded63354	325550940	52123	52128	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241127234	7241127775	-	8305	-	-	-
[sync] offset=-7120575021 µs  rtt=565 µs
97	ded63354	325551690	52129	52134	6	0	96	7677	0	0	95	0	0	0	811	120551527	120561493	120561755	7241137331	7241136795	7241137333	25280	9561	9966	262	819
98	ded63354	325552440	52135	52143	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241144490	7241145400	-	7695	-	-	-
99	ded63354	325553190	52144	52149	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241152338	7241152927	-	7848	-	-	-
100	ded63354	325553940	52150	52155	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241161466	7241162015	-	9128	-	-	-
101	ded63354	325554690	52156	52161	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241168070	7241168592	-	6604	-	-	-
102	ded63354	325555440	52162	52167	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241177440	7241177994	-	9370	-	-	-
103	ded63354	325556190	52168	52173	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241187124	7241187656	-	9684	-	-	-
104	ded63354	325556940	52174	52179	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241195127	7241195671	-	8003	-	-	-
105	ded63354	325557690	52180	52188	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241202510	7241203452	-	7383	-	-	-
106	ded63354	325558440	52189	52194	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241213889	7241214470	-	11379	-	-	-
107	ded63354	325559190	52195	52200	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241227619	7241228200	-	13730	-	-	-
108	ded63354	325559940	52201	52206	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241237072	7241237640	-	9453	-	-	-
109	ded63354	325560690	52207	52212	6	0	108	7635	0	0	93	0	0	0	823	120660168	120669571	120669817	7241245397	7241244862	7241245398	108078	7790	9403	246	806
110	ded63354	325561440	52213	52218	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241252933	7241253459	-	8071	-	-	-
111	ded63354	325562190	52219	52224	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241261906	7241262445	-	8973	-	-	-
112	ded63354	325562940	52225	52234	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241270261	7241271202	-	8355	-	-	-
113	ded63354	325563690	52235	52240	6	0	112	8246	0	0	97	0	0	0	827	120693584	120703041	120703297	7241278916	7241278335	7241278917	33470	8074	9457	256	855
114	ded63354	325564440	52241	52246	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241287107	7241287630	-	8772	-	-	-
115	ded63354	325565190	52247	52252	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241295186	7241296929	-	8079	-	-	-
116	ded63354	325565940	52253	52258	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241304262	7241304795	-	9076	-	-	-
117	ded63354	325566690	52259	52264	6	0	116	7880	0	0	96	0	0	0	831	120727022	120737076	120737331	7241312929	7241312380	7241312929	34035	8118	10054	255	832
118	ded63354	325567440	52265	52270	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241320318	7241320864	-	7938	-	-	-
119	ded63354	325568190	52271	52276	6	0	118	7885	0	0	96	0	0	0	833	120743700	120752854	120753103	7241328704	7241328156	7241328705	15778	7838	9154	249	830
[sync] offset=-7120575021 µs  rtt=571 µs
120	ded63354	325568940	52277	52282	6	0	119	8094	0	0	99	0	0	0	834	120752058	120761635	120761921	7241337508	7241336938	7241337509	8781	8782	9577	286	853
121	ded63354	325569690	52283	52288	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241345121	7241345667	-	8183	-	-	-
122	ded63354	325570440	52289	52294	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241353039	7241353544	-	7918	-	-	-
123	ded63354	325571190	52295	52303	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241362175	7241363086	-	9136	-	-	-
124	ded63354	325571940	52304	52309	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241370086	7241370664	-	7911	-	-	-
125	ded63354	325572690	52310	52315	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241378124	7241378659	-	8038	-	-	-
126	ded63354	325573440	52316	52321	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241387335	7241387878	-	9211	-	-	-
127	ded63354	325574190	52322	52327	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241395221	7241395763	-	7886	-	-	-
128	ded63354	325574940	52328	52333	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241403468	7241404009	-	8247	-	-	-
129	ded63354	325575690	52334	52339	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241413204	7241413746	-	9736	-	-	-
130	ded63354	325576440	52340	52348	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241421186	7241422073	-	7982	-	-	-
131	ded63354	325577190	52349	52355	7	0	130	8489	0	0	100	0	0	0	845	120844104	120854403	120854687	7241430332	7241429749	7241430333	92768	8563	10299	284	909
132	ded63354	325577940	52356	52361	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241437747	7241438319	-	7998	-	-	-
133	ded63354	325578690	52362	52367	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241445922	7241446484	-	8175	-	-	-
134	ded63354	325579440	52368	52373	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241453120	7241453664	-	7198	-	-	-
135	ded63354	325580190	52374	52379	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241462913	7241463457	-	9793	-	-	-
136	ded63354	325580940	52380	52385	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241469914	7241470442	-	7001	-	-	-
137	ded63354	325581690	52386	52391	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241478870	7241479416	-	8956	-	-	-
138	ded63354	325582440	52392	52397	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241487712	7241488226	-	8842	-	-	-
139	ded63354	325583190	52398	52406	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241497406	7241498278	-	9694	-	-	-
140	ded63354	325583940	52407	52412	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241503773	7241504358	-	6367	-	-	-
141	ded63354	325584690	52413	52418	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241514184	7241514729	-	10411	-	-	-
142	ded63354	325585440	52419	52424	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241528545	7241529090	-	14361	-	-	-
[sync] offset=-7120575021 µs  rtt=571 µs
143	ded63354	325586190	52425	52430	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241537759	7241538279	-	9214	-	-	-
144	ded63354	325586940	52431	52436	6	0	143	7862	0	0	96	0	0	0	858	120960966	120970577	120970831	7241546436	7241545887	7241546437	116174	8128	9611	254	839
145	ded63354	325587690	52437	52442	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241553389	7241553937	-	7502	-	-	-
146	ded63354	325588440	52443	52448	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241563448	7241564166	-	10059	-	-	-
147	ded63354	325589190	52449	52457	9	0	146	12044	0	0	132	0	0	0	861	120986045	120995456	120995745	7241571638	7241570756	7241571639	24879	7308	9411	289	1162
148	ded63354	325589940	52458	52464	7	0	147	8515	0	0	101	0	0	0	862	120994388	121003414	121003693	7241579339	7241578726	7241579340	7958	7970	9026	279	905
149	ded63354	325590690	52465	52470	6	0	148	8032	0	0	97	0	0	0	863	121002736	121012582	121012847	7241588469	7241587900	7241588471	9168	9174	9846	265	868
150	ded63354	325591440	52471	52476	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241596202	7241596726	-	8302	-	-	-
151	ded63354	325592190	52477	52482	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241604804	7241605294	-	8602	-	-	-
152	ded63354	325592940	52483	52488	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241613680	7241614222	-	8876	-	-	-
153	ded63354	325593690	52489	52494	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7241621442	7241621989	-	7762	-	-	-
