# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	6aab0a17	1806156749	58653	58657	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088494140	9088494566	-	-	-	-	-
1	6aab0a17	1806157499	58658	58678	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088502892	9088505122	-	8752	-	-	-
2	6aab0a17	1806158249	58679	58699	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088509238	9088511503	-	6346	-	-	-
3	6aab0a17	1806158999	58700	58720	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088518349	9088520666	-	9111	-	-	-
4	6aab0a17	1806159749	58721	58735	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088527493	9088529130	-	9144	-	-	-
5	6aab0a17	1806160499	58736	58755	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088534881	9088537110	-	7388	-	-	-
6	6aab0a17	1806161249	58756	58776	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088543137	9088545412	-	8256	-	-	-
7	6aab0a17	1806161999	58777	58797	21	0	6	28022	0	0	105	0	0	0	888	1967910093	1967918683	1967919762	9088554830	9088552559	9088554831	-	9422	8590	1079	2536
8	6aab0a17	1806162749	58798	58818	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088559996	9088562263	-	7437	-	-	-
9	6aab0a17	1806163499	58819	58839	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088568325	9088570599	-	8329	-	-	-
10	6aab0a17	1806164249	58840	58860	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088577399	9088579854	-	9074	-	-	-
11	6aab0a17	1806164999	58861	58876	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088585266	9088586920	-	7867	-	-	-
12	6aab0a17	1806165749	58877	58891	15	0	11	20565	0	0	85	0	0	0	893	1967952008	1967959477	1967959948	9088595004	9088593387	9088595005	40794	8121	7469	471	1916
13	6aab0a17	1806166499	58892	58912	21	0	12	28028	0	0	106	0	0	0	894	1967960386	1967968522	1967969834	9088604708	9088602447	9088604709	9045	9060	8136	1312	2575
14	6aab0a17	1806167249	58913	58933	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088610134	9088612422	-	7687	-	-	-
15	6aab0a17	1806167999	58934	58954	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088618541	9088620832	-	8407	-	-	-
16	6aab0a17	1806168749	58955	58975	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088627951	9088630268	-	9410	-	-	-
17	6aab0a17	1806169499	58976	58990	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088635446	9088637086	-	7495	-	-	-
18	6aab0a17	1806170249	58991	59005	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088643425	9088645026	-	7979	-	-	-
19	6aab0a17	1806170999	59006	59025	20	0	18	27739	0	0	106	0	0	0	900	1968010682	1968019930	1968021016	9088656296	9088654064	9088656297	51408	10639	9248	1086	2755
20	6aab0a17	1806171749	59026	59046	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088660661	9088662925	-	6597	-	-	-
21	6aab0a17	1806172499	59047	59067	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088668703	9088671009	-	8042	-	-	-
22	6aab0a17	1806173249	59068	59088	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088676794	9088679103	-	8091	-	-	-
23	6aab0a17	1806173999	59089	59104	16	0	22	21028	0	0	86	0	0	0	904	1968044209	1968051289	1968051784	9088686883	9088685198	9088686884	31359	8404	7080	495	1983
24	6aab0a17	1806174749	59105	59119	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088693536	9088695126	-	8338	-	-	-
25	6aab0a17	1806175499	59120	59140	21	0	24	28065	0	0	107	0	0	0	906	1968060974	1968069287	1968070638	9088705646	9088703376	9088705647	17998	9840	8313	1351	2748
26	6aab0a17	1806176249	59141	59161	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088710876	9088713149	-	7500	-	-	-
27	6aab0a17	1806176999	59162	59182	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088719406	9088721708	-	8530	-	-	-
28	6aab0a17	1806177749	59183	59203	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088729387	9088731659	-	9981	-	-	-
29	6aab0a17	1806178499	59204	59224	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088735518	9088737817	-	6131	-	-	-
30	6aab0a17	1806179249	59225	59240	16	0	29	21151	0	0	86	0	0	0	911	1968102883	1968110183	1968110639	9088745743	9088744064	9088745744	40896	8546	7300	456	1949
31	6aab0a17	1806179999	59241	59255	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088755284	9088756860	-	11220	-	-	-
32	6aab0a17	1806180749	59256	59276	21	0	31	28058	0	0	107	0	0	0	913	1968119626	1968127415	1968128347	9088763590	9088761330	9088763591	17232	6046	7789	932	2564
33	6aab0a17	1806181499	59277	59297	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088769697	9088771992	-	8367	-	-	-
34	6aab0a17	1806182249	59298	59318	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088779715	9088781988	-	10018	-	-	-
35	6aab0a17	1806182999	59319	59339	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088785826	9088788136	-	6111	-	-	-
36	6aab0a17	1806183749	59340	59354	15	0	35	20933	0	0	86	0	0	0	917	1968153167	1968160569	1968161076	9088796143	9088794506	9088796144	33154	8680	7402	507	1963
37	6aab0a17	1806184499	59355	59369	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088802566	9088804181	-	8060	-	-	-
38	6aab0a17	1806185249	59370	59389	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088811437	9088813674	-	8871	-	-	-
39	6aab0a17	1806185999	59390	59410	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088820065	9088822348	-	8628	-	-	-
40	6aab0a17	1806186749	59411	59431	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088829961	9088832222	-	9896	-	-	-
41	6aab0a17	1806187499	59432	59452	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088836206	9088838496	-	6245	-	-	-
42	6aab0a17	1806188249	59453	59473	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088845464	9088847739	-	9258	-	-	-
43	6aab0a17	1806188999	59474	59494	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088855253	9088857544	-	9789	-	-	-
44	6aab0a17	1806189749	59495	59510	16	0	43	21090	0	0	86	0	0	0	925	1968220208	1968227640	1968228084	9088863195	9088861519	9088863196	67071	6266	7432	444	1944
45	6aab0a17	1806190499	59511	59525	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088870686	9088872367	-	9167	-	-	-
46	6aab0a17	1806191249	59526	59546	21	0	45	28006	0	0	107	0	0	0	927	1968236976	1968245632	1968246739	9088881816	9088879558	9088881817	17992	8872	8656	1107	2573
47	6aab0a17	1806191999	59547	59567	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088887309	9088889582	-	7751	-	-	-
48	6aab0a17	1806192749	59568	59588	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088895187	9088897449	-	7878	-	-	-
49	6aab0a17	1806193499	59589	59609	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088905182	9088907481	-	9995	-	-	-
50	6aab0a17	1806194249	59610	59630	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088912417	9088914680	-	7235	-	-	-
51	6aab0a17	1806194999	59631	59651	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088921407	9088923687	-	8990	-	-	-
52	6aab0a17	1806195749	59652	59672	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088929527	9088931868	-	8120	-	-	-
53	6aab0a17	1806196499	59673	59693	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088937402	9088939702	-	7875	-	-	-
54	6aab0a17	1806197249	59694	59708	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9088945553	9088947184	-	8151	-	-	-
