# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	4f3e0563	1458378569	7358	7379	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9279945330	9279947780	-	-	-	-	-
1	4f3e0563	1458379319	7380	7396	17	0	1	22459	0	0	88	0	0	0	137	2159304016	2159313705	2159314218	9279955435	9279953648	9279955436	-	8318	9689	513	2184
2	4f3e0563	1458380069	7397	7412	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9279962081	9279963779	-	8433	-	-	-
3	4f3e0563	1458380819	7413	7434	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9279970026	9279972398	-	7945	-	-	-
4	4f3e0563	1458381569	7435	7457	23	0	4	30787	0	0	112	0	0	0	140	2159329152	2159338229	2159338919	9279980696	9279978201	9279980697	24524	8175	9077	690	2921
5	4f3e0563	1458382319	7458	7480	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9279987446	9279989939	-	9245	-	-	-
6	4f3e0563	1458383069	7481	7497	17	0	6	22506	0	0	88	0	0	0	142	2159345941	2159355047	2159355553	9279996779	9279994996	9279996790	16818	7550	9106	506	2196
7	4f3e0563	1458383819	7498	7513	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280003207	9280004955	-	8211	-	-	-
8	4f3e0563	1458384569	7514	7529	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280012439	9280014136	-	9232	-	-	-
9	4f3e0563	1458385319	7530	7551	22	0	9	29978	0	0	111	0	0	0	145	2159371082	2159380987	2159381936	9280023362	9280020941	9280023363	25940	8502	9905	949	2829
10	4f3e0563	1458386069	7552	7574	23	0	10	30809	0	0	112	0	0	0	146	2159379442	2159388748	2159389456	9280031220	9280028725	9280031221	7761	7784	9306	708	2926
11	4f3e0563	1458386819	7575	7597	23	0	11	30903	0	0	112	0	0	0	147	2159387829	2159397932	2159399073	9280040392	9280037996	9280040393	9184	9271	10103	1141	2914
12	4f3e0563	1458387569	7598	7613	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280045439	9280047188	-	7443	-	-	-
13	4f3e0563	1458388319	7614	7629	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280053718	9280055461	-	8279	-	-	-
14	4f3e0563	1458389069	7630	7645	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280060776	9280062464	-	7058	-	-	-
15	4f3e0563	1458389819	7646	7667	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280068537	9280070949	-	7761	-	-	-
16	4f3e0563	1458390569	7668	7689	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280079911	9280083596	-	11374	-	-	-
17	4f3e0563	1458391319	7690	7711	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280085749	9280088230	-	5838	-	-	-
18	4f3e0563	1458392069	7712	7728	17	0	18	22405	0	0	89	0	0	0	154	2159446524	2159455544	2159456056	9280097275	9280095494	9280097276	57612	9745	9020	512	2185
19	4f3e0563	1458392819	7729	7744	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280104815	9280106497	-	9321	-	-	-
20	4f3e0563	1458393569	7745	7766	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280113015	9280115421	-	8200	-	-	-
21	4f3e0563	1458394319	7767	7789	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280120903	9280123388	-	7888	-	-	-
22	4f3e0563	1458395069	7790	7812	23	0	22	30803	0	0	112	0	0	0	158	2159480049	2159488253	2159489118	9280130771	9280128219	9280130772	32709	7316	8204	865	2972
23	4f3e0563	1458395819	7813	7828	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280137755	9280139280	-	9536	-	-	-
24	4f3e0563	1458396569	7829	7844	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280145653	9280147369	-	7898	-	-	-
25	4f3e0563	1458397319	7845	7866	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280155284	9280157676	-	9631	-	-	-
26	4f3e0563	1458398069	7867	7888	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280161503	9280163953	-	6219	-	-	-
27	4f3e0563	1458398819	7889	7910	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280169675	9280172136	-	8172	-	-	-
28	4f3e0563	1458399569	7911	7932	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280177559	9280180024	-	7884	-	-	-
29	4f3e0563	1458400319	7933	7948	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280185657	9280187410	-	8098	-	-	-
30	4f3e0563	1458401069	7949	7964	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280194049	9280195779	-	8392	-	-	-
31	4f3e0563	1458401819	7965	7980	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280202370	9280204071	-	8321	-	-	-
32	4f3e0563	1458402569	7981	8002	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280213600	9280215998	-	11230	-	-	-
33	4f3e0563	1458403319	8003	8024	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280222148	9280224598	-	8548	-	-	-
34	4f3e0563	1458404069	8025	8046	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280229759	9280232210	-	7611	-	-	-
35	4f3e0563	1458404819	8047	8068	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280238993	9280241450	-	9234	-	-	-
36	4f3e0563	1458405569	8069	8085	17	0	36	22466	0	0	89	0	0	0	172	2159597390	2159607078	2159607605	9280248834	9280247053	9280248835	118825	8060	9688	527	2089
37	4f3e0563	1458406319	8086	8101	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280255296	9280256979	-	8243	-	-	-
38	4f3e0563	1458407069	8102	8123	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280261720	9280264137	-	6424	-	-	-
39	4f3e0563	1458407819	8124	8146	23	0	39	30849	0	0	112	0	0	0	175	2159622526	2159631787	2159632435	9280274235	9280271724	9280274236	24709	10004	9261	648	2781
40	4f3e0563	1458408569	8147	8162	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280279823	9280281877	-	8099	-	-	-
41	4f3e0563	1458409319	8163	8178	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	9280289468	9280291142	-	9645	-	-	-
