# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	e14a9e8b	2139572015	35103	35117	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450489999	12450491630	-	-	-	-	-
1	e14a9e8b	2139572765	35118	35139	22	0	1	29451	0	0	109	0	0	0	196	5329750235	5329758126	5329759070	12450501486	12450499101	12450501487	-	9102	7891	944	2770
2	e14a9e8b	2139573515	35140	35161	22	0	2	30194	0	0	110	0	0	0	197	5329758598	5329767831	5329768719	12450511415	12450508977	12450511416	9705	9876	9233	888	2994
3	e14a9e8b	2139574265	35162	35177	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450515314	12450516991	-	6337	-	-	-
4	e14a9e8b	2139575015	35178	35199	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450523419	12450525869	-	8105	-	-	-
5	e14a9e8b	2139575765	35200	35217	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450531812	12450533783	-	8393	-	-	-
6	e14a9e8b	2139576515	35218	35234	17	0	6	22464	0	0	89	0	0	0	201	5329792126	5329799178	5329799695	12450541976	12450540178	12450541976	31347	8366	7052	517	2207
7	e14a9e8b	2139577265	35235	35257	23	0	7	30784	0	0	113	0	0	0	202	5329800520	5329808456	5329809420	12450551934	12450549433	12450551935	9278	9255	7936	964	2888
8	e14a9e8b	2139578015	35258	35273	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450559241	12450560931	-	9808	-	-	-
9	e14a9e8b	2139578765	35274	35295	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12450565335	12450567765	-	6094	-	-	-
