# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	68a3d5b2	1527407388	59718	59735	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523615543	18523617526	-	-	-	-	-
1	68a3d5b2	1527408138	59736	59753	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523622863	18523624857	-	7320	-	-	-
2	68a3d5b2	1527408888	59754	59772	19	0	7925	25517	0	0	98	0	0	0	203	11402687045	11402695363	11402696929	18523635043	18523632997	18523635044	-	10134	8318	1566	3317
3	68a3d5b2	1527409638	59773	59794	22	0	7926	29480	0	0	109	0	0	0	204	11402695442	11402703349	11402704251	18523642484	18523640094	18523642485	7986	7097	7907	902	2772
4	68a3d5b2	1527410388	59795	59815	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523648495	18523650825	-	8401	-	-	-
5	68a3d5b2	1527411138	59816	59834	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523657225	18523659450	-	8730	-	-	-
6	68a3d5b2	1527411888	59835	59853	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523664905	18523666944	-	7680	-	-	-
7	68a3d5b2	1527412638	59854	59871	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523672955	18523674946	-	8050	-	-	-
8	68a3d5b2	1527413388	59872	59889	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523682121	18523683111	-	9166	-	-	-
9	68a3d5b2	1527414138	59890	59907	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523689881	18523691615	-	7760	-	-	-
10	68a3d5b2	1527414888	59908	59925	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523698623	18523700579	-	8742	-	-	-
11	68a3d5b2	1527415638	59926	59950	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523707992	18523710739	-	9369	-	-	-
12	68a3d5b2	1527416388	59951	59968	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523715685	18523717688	-	7693	-	-	-
13	68a3d5b2	1527417138	59969	59986	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523724335	18523726345	-	8650	-	-	-
14	68a3d5b2	1527417888	59987	60004	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523732901	18523734810	-	8566	-	-	-
15	68a3d5b2	1527418638	60005	60029	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523741466	18523744139	-	8565	-	-	-
16	68a3d5b2	1527419388	60030	60047	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523749044	18523751031	-	7578	-	-	-
17	68a3d5b2	1527420138	60048	60065	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523758790	18523760782	-	9746	-	-	-
18	68a3d5b2	1527420888	60066	60083	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523765839	18523767779	-	7049	-	-	-
19	68a3d5b2	1527421638	60084	60108	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523774132	18523776883	-	8293	-	-	-
20	68a3d5b2	1527422388	60109	60126	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523782150	18523784153	-	8018	-	-	-
21	68a3d5b2	1527423138	60127	60144	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523790617	18523792537	-	8467	-	-	-
22	68a3d5b2	1527423888	60145	60162	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523799619	18523801618	-	9002	-	-	-
23	68a3d5b2	1527424638	60163	60187	25	0	7946	34184	0	0	122	0	0	0	224	11402863057	11402871785	11402873028	18523811349	18523808593	18523811350	168436	8974	8728	1243	3201
24	68a3d5b2	1527425388	60188	60205	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523816112	18523818117	-	7519	-	-	-
25	68a3d5b2	1527426138	60206	60223	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523824152	18523826159	-	8040	-	-	-
26	68a3d5b2	1527426888	60224	60241	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523832260	18523834241	-	8108	-	-	-
27	68a3d5b2	1527427638	60242	60259	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523840444	18523842433	-	8184	-	-	-
28	68a3d5b2	1527428388	60260	60277	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523848847	18523850786	-	8403	-	-	-
29	68a3d5b2	1527429138	60278	60302	25	0	7952	34426	0	0	122	0	0	0	230	11402913355	11402922643	11402923610	18523862338	18523859538	18523862357	50858	10691	9288	967	3275
30	68a3d5b2	1527429888	60303	60321	19	0	7953	25264	0	0	97	0	0	0	231	11402921722	11402928949	11402929467	18523867735	18523865698	18523867736	6306	6160	7227	518	2348
31	68a3d5b2	1527430638	60322	60339	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523875088	18523877230	-	9390	-	-	-
32	68a3d5b2	1527431388	60340	60357	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523884625	18523886586	-	9537	-	-	-
33	68a3d5b2	1527432138	60358	60375	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523890671	18523892614	-	6046	-	-	-
34	68a3d5b2	1527432888	60376	60400	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523899665	18523902461	-	8994	-	-	-
35	68a3d5b2	1527433638	60401	60418	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523907498	18523909495	-	7833	-	-	-
36	68a3d5b2	1527434388	60419	60436	18	0	7959	24560	0	0	96	0	0	0	237	11402972023	11402979733	11402980342	18523918439	18523916475	18523918440	50784	8977	7710	609	2268
37	68a3d5b2	1527435138	60437	60454	18	0	7960	24439	0	0	96	0	0	0	238	11402980398	11402988012	11402988537	18523926738	18523924784	18523926739	8279	8309	7614	525	2288
38	68a3d5b2	1527435888	60455	60479	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523935117	18523937892	-	10333	-	-	-
39	68a3d5b2	1527436638	60480	60497	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523941397	18523943386	-	6280	-	-	-
40	68a3d5b2	1527437388	60498	60515	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523949770	18523951748	-	8373	-	-	-
41	68a3d5b2	1527438138	60516	60533	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523958949	18523961008	-	9179	-	-	-
42	68a3d5b2	1527438888	60534	60558	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523967720	18523970498	-	8771	-	-	-
43	68a3d5b2	1527439638	60559	60577	19	0	7966	25188	0	0	96	0	0	0	244	11403030687	11403038582	11403039400	18523977362	18523975329	18523977363	50570	7609	7895	818	2342
44	68a3d5b2	1527440388	60578	60595	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523985211	18523987155	-	9882	-	-	-
45	68a3d5b2	1527441138	60596	60613	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523991718	18523993690	-	6507	-	-	-
46	68a3d5b2	1527441888	60614	60631	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18523999778	18524001758	-	8060	-	-	-
47	68a3d5b2	1527442638	60632	60656	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524009126	18524012035	-	9348	-	-	-
48	68a3d5b2	1527443388	60657	60674	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524017211	18524019201	-	8085	-	-	-
49	68a3d5b2	1527444138	60675	60692	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524025121	18524027100	-	7910	-	-	-
50	68a3d5b2	1527444888	60693	60710	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524033398	18524035328	-	8277	-	-	-
51	68a3d5b2	1527445638	60711	60735	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524042400	18524045190	-	9002	-	-	-
52	68a3d5b2	1527446388	60736	60753	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524051470	18524053464	-	9070	-	-	-
53	68a3d5b2	1527447138	60754	60771	18	0	7976	24813	0	0	96	0	0	0	254	11403114502	11403122707	11403124064	18524061709	18524059539	18524061715	84125	8069	8205	1357	2569
54	68a3d5b2	1527447888	60772	60789	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524067434	18524069376	-	7895	-	-	-
55	68a3d5b2	1527448638	60790	60807	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524076046	18524077980	-	8612	-	-	-
56	68a3d5b2	1527449388	60808	60832	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524086258	18524089003	-	10212	-	-	-
57	68a3d5b2	1527450138	60833	60851	19	0	7980	25201	0	0	96	0	0	0	258	11403148033	11403157650	11403158325	18524096464	18524094431	18524096465	34943	8173	9617	675	2376
58	68a3d5b2	1527450888	60852	60869	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524102191	18524104145	-	7760	-	-	-
59	68a3d5b2	1527451638	60870	60887	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524108688	18524110628	-	6497	-	-	-
60	68a3d5b2	1527452388	60888	60912	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524118258	18524121116	-	9570	-	-	-
61	68a3d5b2	1527453138	60913	60930	18	0	7984	24907	0	0	96	0	0	0	262	11403181556	11403189289	11403191208	18524128137	18524126120	18524128144	31639	7862	7733	1919	2416
62	68a3d5b2	1527453888	60931	60948	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524133915	18524135884	-	7795	-	-	-
63	68a3d5b2	1527454638	60949	60966	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524143018	18524144962	-	9103	-	-	-
64	68a3d5b2	1527455388	60967	60991	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524152093	18524154843	-	9075	-	-	-
65	68a3d5b2	1527456138	60992	61009	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524160486	18524162476	-	8393	-	-	-
66	68a3d5b2	1527456888	61010	61027	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524167846	18524169809	-	7360	-	-	-
67	68a3d5b2	1527457638	61028	61045	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524177137	18524179062	-	9291	-	-	-
68	68a3d5b2	1527458388	61046	61070	25	0	7991	34415	0	0	122	0	0	0	269	11403240220	11403249615	11403251262	18524189210	18524186410	18524189210	60326	9273	9395	1647	3156
69	68a3d5b2	1527459138	61071	61089	19	0	7992	25222	0	0	96	0	0	0	270	11403248606	11403256712	11403257536	18524195496	18524193475	18524195497	7097	7065	8106	824	2346
70	68a3d5b2	1527459888	61090	61107	18	0	7993	24605	0	0	95	0	0	0	271	11403256990	11403265195	11403265974	18524204105	18524202022	18524204106	8483	8547	8205	779	2472
71	68a3d5b2	1527460638	61108	61125	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524210780	18524212722	-	8758	-	-	-
72	68a3d5b2	1527461388	61126	61150	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524218360	18524221104	-	7580	-	-	-
73	68a3d5b2	1527462138	61151	61169	19	0	7996	25536	0	0	97	0	0	0	274	11403282131	11403289966	11403291204	18524229467	18524227416	18524229467	24771	9056	7835	1238	3062
74	68a3d5b2	1527462888	61170	61187	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524235909	18524237895	-	8493	-	-	-
75	68a3d5b2	1527463638	61188	61205	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524243320	18524245271	-	7411	-	-	-
76	68a3d5b2	1527464388	61206	61223	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	18524251733	18524253671	-	8413	-	-	-
