# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	b6cbe30c	323511798	53969	53987	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12680980233	12680982260	-	-	-	-	-
1	b6cbe30c	323512548	53988	54006	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12680987917	12680989950	-	7684	-	-	-
2	b6cbe30c	323513298	54007	54025	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12680996164	12680998197	-	8247	-	-	-
3	b6cbe30c	323514048	54026	54044	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681004495	12681006538	-	8331	-	-	-
4	b6cbe30c	323514798	54045	54065	21	0	4	28320	0	0	106	0	0	0	685	5560257502	5560264649	5560265250	12681015311	12681013037	12681015311	-	8542	7147	601	2708
5	b6cbe30c	323515548	54066	54087	22	0	5	29998	0	0	111	0	0	0	686	5560265887	5560273713	5560274617	12681024480	12681022068	12681024481	9064	9031	7826	904	2814
6	b6cbe30c	323516298	54088	54107	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681030515	12681032687	-	8447	-	-	-
7	b6cbe30c	323517048	54108	54126	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681039807	12681041867	-	9292	-	-	-
8	b6cbe30c	323517798	54127	54145	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681047459	12681049547	-	7652	-	-	-
9	b6cbe30c	323518548	54146	54164	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681056292	12681058350	-	8833	-	-	-
10	b6cbe30c	323519298	54165	54183	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681064867	12681066894	-	8575	-	-	-
11	b6cbe30c	323520048	54184	54202	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681072554	12681074602	-	7687	-	-	-
12	b6cbe30c	323520798	54203	54221	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681081460	12681083508	-	8906	-	-	-
13	b6cbe30c	323521548	54222	54240	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681089988	12681092028	-	8528	-	-	-
14	b6cbe30c	323522298	54241	54259	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681097695	12681099735	-	7707	-	-	-
15	b6cbe30c	323523048	54260	54278	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	12681105915	12681107970	-	8220	-	-	-
