# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	b5a10464	1830052644	60315	60351	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234448303	23234452500	-	-	-	-	-
1	b5a10464	1830054169	60352	60388	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234464965	23234469135	-	16662	-	-	-
2	b5a10464	1830055694	60389	60434	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234481780	23234487093	-	16815	-	-	-
3	b5a10464	1830057219	60435	60471	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234498987	23234502927	-	17207	-	-	-
4	b5a10464	1830058744	60472	60508	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234517044	23234520823	-	18057	-	-	-
5	b5a10464	1830060269	60509	60545	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234533463	23234536840	-	16419	-	-	-
6	b5a10464	1830061794	60546	60582	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234549992	23234553754	-	16529	-	-	-
7	b5a10464	1830063319	60583	60619	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234566694	23234570784	-	16702	-	-	-
8	b5a10464	1830064844	60620	60665	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234583447	23234588732	-	16753	-	-	-
9	b5a10464	1830066369	60666	60702	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234600399	23234604554	-	16952	-	-	-
10	b5a10464	1830067894	60703	60739	37	0	7863	50949	0	0	96	0	0	0	30	649811225	649815814	649816792	23234622381	23234618227	23234622381	-	17828	4589	978	5002
11	b5a10464	1830069419	60740	60776	37	0	7864	51179	0	0	97	0	0	0	31	649828194	649832067	649832880	23234638652	23234634526	23234638653	16253	16299	3873	813	5021
12	b5a10464	1830070944	60777	60813	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234651152	23234655352	-	16626	-	-	-
13	b5a10464	1830072469	60814	60850	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234668176	23234672413	-	17024	-	-	-
14	b5a10464	1830073994	60851	60887	37	0	7867	50999	0	0	97	0	0	0	34	649878960	649882681	649883662	23234689251	23234685067	23234689252	50614	16891	3721	981	5006
15	b5a10464	1830075519	60888	60924	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234701981	23234706120	-	16914	-	-	-
16	b5a10464	1830077044	60925	60961	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234719766	23234723929	-	17785	-	-	-
17	b5a10464	1830078569	60962	61007	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234736012	23234741191	-	16246	-	-	-
18	b5a10464	1830080094	61008	61044	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234752831	23234757043	-	16819	-	-	-
19	b5a10464	1830081619	61045	61081	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234769806	23234773894	-	16975	-	-	-
20	b5a10464	1830083144	61082	61118	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234786694	23234790867	-	16888	-	-	-
21	b5a10464	1830084669	61119	61155	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234803657	23234807794	-	16963	-	-	-
22	b5a10464	1830086194	61156	61192	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234821387	23234825592	-	17730	-	-	-
23	b5a10464	1830087719	61193	61229	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234837620	23234841613	-	16233	-	-	-
24	b5a10464	1830089244	61230	61266	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234854429	23234858610	-	16809	-	-	-
25	b5a10464	1830090769	61267	61313	47	0	7878	64343	0	0	116	0	0	0	45	650065268	650069050	650070296	23234876725	23234871380	23234876726	186369	16951	3782	1246	6111
26	b5a10464	1830092294	61314	61350	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234888202	23234892379	-	16822	-	-	-
27	b5a10464	1830093819	61351	61387	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234905408	23234909401	-	17206	-	-	-
28	b5a10464	1830095344	61388	61424	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234923468	23234927215	-	18060	-	-	-
29	b5a10464	1830096869	61425	61461	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234939048	23234943201	-	15580	-	-	-
30	b5a10464	1830098394	61462	61498	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234956032	23234960202	-	16984	-	-	-
31	b5a10464	1830099919	61499	61544	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234973002	23234978263	-	16970	-	-	-
32	b5a10464	1830101444	61545	61581	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23234990289	23234994055	-	17287	-	-	-
33	b5a10464	1830102969	61582	61618	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235007734	23235011022	-	17445	-	-	-
34	b5a10464	1830104494	61619	61655	37	0	7887	51109	0	0	99	0	0	0	54	650217626	650222242	650223220	23235028835	23235025062	23235028836	153192	17328	4616	978	5029
35	b5a10464	1830106019	61656	61692	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235040635	23235044813	-	15573	-	-	-
36	b5a10464	1830107544	61693	61729	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235057554	23235061754	-	16919	-	-	-
37	b5a10464	1830109069	61730	61766	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235074663	23235078850	-	17109	-	-	-
38	b5a10464	1830110594	61767	61803	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235091403	23235095571	-	16740	-	-	-
39	b5a10464	1830112119	61804	61832	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235108639	23235111499	-	17236	-	-	-
40	b5a10464	1830113644	61833	61864	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235126681	23235129789	-	18042	-	-	-
41	b5a10464	1830115169	61865	61901	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235142727	23235146434	-	16046	-	-	-
42	b5a10464	1830116694	61902	61938	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235159557	23235163369	-	16830	-	-	-
43	b5a10464	1830118219	61939	61984	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235176162	23235181420	-	16605	-	-	-
44	b5a10464	1830119744	61985	62030	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235193111	23235198400	-	16949	-	-	-
45	b5a10464	1830121269	62031	62076	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235209975	23235215266	-	16864	-	-	-
46	b5a10464	1830122794	62077	62123	47	0	7899	64376	0	0	115	0	0	0	7	650420833	650425507	650426724	23235233241	23235227901	23235233242	203265	17926	4674	1217	6170
47	b5a10464	1830124319	62124	62169	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23235243920	23235249225	-	16019	-	-	-
