# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	3e61d113	968273251	43248	43284	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536167835	23536172003	-	-	-	-	-
1	3e61d113	968274776	43285	43321	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536184492	23536188651	-	16657	-	-	-
2	3e61d113	968276301	43322	43358	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536201304	23536205459	-	16812	-	-	-
3	3e61d113	968277826	43359	43386	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536218327	23536221294	-	17023	-	-	-
4	3e61d113	968279351	43387	43418	32	0	4	43398	0	0	91	0	0	0	1	951417885	951422325	951423179	23536238844	23536235850	23536238845	-	17523	4440	854	4737
5	3e61d113	968280876	43419	43455	37	0	5	50371	0	0	102	0	0	0	2	951434816	951440517	951441487	23536257626	23536253676	23536257641	18192	17826	5701	970	5341
6	3e61d113	968282401	43456	43492	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536269470	23536273381	-	15794	-	-	-
7	3e61d113	968283926	43493	43529	37	0	7	50352	0	0	102	0	0	0	4	951468723	951473105	951474092	23536290226	23536286710	23536290227	32588	17240	4382	987	5339
8	3e61d113	968285451	43530	43565	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536303055	23536307157	-	16345	-	-	-
9	3e61d113	968286976	43566	43601	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536319898	23536323995	-	16843	-	-	-
10	3e61d113	968288501	43602	43637	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536337058	23536340945	-	17160	-	-	-
11	3e61d113	968290026	43638	43674	37	0	11	50420	0	0	102	0	0	0	8	951536458	951541641	951542629	23536358763	23536354697	23536358764	68536	17639	5183	988	5340
12	3e61d113	968291551	43675	43711	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536371020	23536374832	-	16323	-	-	-
13	3e61d113	968293076	43712	43748	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536387852	23536391826	-	16832	-	-	-
14	3e61d113	968294601	43749	43785	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536405529	23536408779	-	17677	-	-	-
15	3e61d113	968296126	43786	43821	36	0	15	50264	0	0	102	0	0	0	12	951604194	951608509	951609472	23536425684	23536421523	23536425690	66868	15994	4315	963	5398
16	3e61d113	968297651	43822	43857	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536438435	23536442531	-	16912	-	-	-
17	3e61d113	968299176	43858	43903	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536456244	23536461530	-	17809	-	-	-
18	3e61d113	968300701	43904	43949	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536472298	23536477567	-	16054	-	-	-
19	3e61d113	968302226	43950	43995	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536489262	23536494459	-	16964	-	-	-
20	3e61d113	968303751	43996	44041	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536506222	23536511500	-	16960	-	-	-
21	3e61d113	968305276	44042	44087	46	0	21	63565	0	0	115	0	0	0	18	951705751	951710189	951711382	23536528417	23536523168	23536528418	101680	16946	4438	1193	6446
22	3e61d113	968306801	44088	44133	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536540301	23536545292	-	17133	-	-	-
23	3e61d113	968308326	44134	44179	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23536558411	23536563103	-	18110	-	-	-
