# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	e18d1bd9	780788171	36428	36464	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370425467	23370429656	-	-	-	-	-
1	e18d1bd9	780789696	36465	36501	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370443285	23370447429	-	17818	-	-	-
2	e18d1bd9	780791221	36502	36538	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370459377	23370463533	-	16092	-	-	-
3	e18d1bd9	780792746	36539	36575	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370475538	23370479717	-	16161	-	-	-
4	e18d1bd9	780794271	36576	36612	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370492484	23370496616	-	16946	-	-	-
5	e18d1bd9	780795796	36613	36649	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370510280	23370514325	-	17796	-	-	-
6	e18d1bd9	780797321	36650	36686	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370527424	23370531237	-	17144	-	-	-
7	e18d1bd9	780798846	36687	36723	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370544816	23370548994	-	17392	-	-	-
8	e18d1bd9	780800371	36724	36760	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370561306	23370565175	-	16490	-	-	-
9	e18d1bd9	780801896	36761	36797	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370577956	23370582146	-	16650	-	-	-
10	e18d1bd9	780803421	36798	36834	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370594787	23370598946	-	16831	-	-	-
11	e18d1bd9	780804946	36835	36871	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370612305	23370615867	-	17518	-	-	-
12	e18d1bd9	780806471	36872	36917	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370628755	23370633974	-	16450	-	-	-
13	e18d1bd9	780807996	36918	36963	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370647193	23370651838	-	18438	-	-	-
14	e18d1bd9	780809521	36964	37009	46	0	14	63850	0	0	117	0	0	0	16	785850952	785855329	785856459	23370667841	23370662518	23370667847	-	15325	4377	1130	8735
15	e18d1bd9	780811046	37010	37055	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370679505	23370684798	-	16987	-	-	-
16	e18d1bd9	780812571	37056	37101	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370696463	23370701652	-	16958	-	-	-
17	e18d1bd9	780814096	37102	37147	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370713652	23370718568	-	17189	-	-	-
18	e18d1bd9	780815621	37148	37193	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370730351	23370735537	-	16699	-	-	-
19	e18d1bd9	780817146	37194	37239	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370749139	23370753423	-	18788	-	-	-
20	e18d1bd9	780818671	37240	37286	47	0	20	64365	0	0	112	0	0	0	22	785952553	785956931	785958086	23370769445	23370764174	23370769446	101602	15035	4378	1155	8732
21	e18d1bd9	780820196	37287	37332	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370781061	23370786357	-	16887	-	-	-
22	e18d1bd9	780821721	37333	37378	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370798061	23370803332	-	17000	-	-	-
23	e18d1bd9	780823246	37379	37425	47	0	23	64310	0	0	110	0	0	0	25	786003390	786007721	786008867	23370820236	23370814906	23370820237	50790	16845	4331	1146	8733
24	e18d1bd9	780824771	37426	37471	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370831835	23370837113	-	16929	-	-	-
25	e18d1bd9	780826296	37472	37517	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370849914	23370855185	-	18079	-	-	-
26	e18d1bd9	780827821	37518	37563	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370865217	23370870426	-	15303	-	-	-
27	e18d1bd9	780829346	37564	37609	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370882659	23370887932	-	17442	-	-	-
28	e18d1bd9	780830871	37610	37655	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	23370899674	23370904921	-	17015	-	-	-
