# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	68a3d5b2	1316145138	16385	16405	21	0	0	28820	0	0	108	0	0	0	518	9040483830	9040491757	9040492676	16161354320	16161352022	16161354322	-	-	7927	919	2727
1	68a3d5b2	1316145888	16406	16427	22	0	1	30098	0	0	111	0	0	0	519	9040492218	9040501484	9040502319	16161364300	16161361879	16161364301	9727	9857	9266	835	2979
2	68a3d5b2	1316146638	16428	16447	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161368944	16161371116	-	7065	-	-	-
3	68a3d5b2	1316147388	16448	16467	20	0	3	26587	0	0	101	0	0	0	521	9040508971	9040517266	9040518032	16161379863	16161377717	16161379864	15782	8773	8295	766	2760
4	68a3d5b2	1316148138	16468	16484	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161385954	16161387868	-	8237	-	-	-
5	68a3d5b2	1316148888	16485	16500	16	0	5	21018	0	0	86	0	0	0	523	9040525735	9040533261	9040533672	16161395148	16161393473	16161395149	15995	7519	7526	411	2050
6	68a3d5b2	1316149638	16501	16521	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161402594	16161405055	-	9121	-	-	-
7	68a3d5b2	1316150388	16522	16543	22	0	7	29532	0	0	109	0	0	0	525	9040542497	9040551953	9040552694	16161414612	16161412229	16161414613	18692	9635	9456	741	2822
8	68a3d5b2	1316151138	16544	16558	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161418487	16161420128	-	6258	-	-	-
9	68a3d5b2	1316151888	16559	16579	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161427370	16161429639	-	8883	-	-	-
10	68a3d5b2	1316152638	16580	16600	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161437325	16161439660	-	9955	-	-	-
11	68a3d5b2	1316153388	16601	16621	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161444388	16161446710	-	7063	-	-	-
12	68a3d5b2	1316154138	16622	16636	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161452034	16161453667	-	7646	-	-	-
13	68a3d5b2	1316154888	16637	16657	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161462434	16161464689	-	10400	-	-	-
14	68a3d5b2	1316155638	16658	16678	21	0	14	28833	0	0	108	0	0	0	532	9040601171	9040609189	9040610129	16161471745	16161469419	16161471746	57236	6985	8018	940	2719
15	68a3d5b2	1316156388	16679	16699	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161478006	16161480415	-	8587	-	-	-
16	68a3d5b2	1316157138	16700	16714	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161487587	16161489172	-	9581	-	-	-
17	68a3d5b2	1316157888	16715	16735	21	0	17	28430	0	0	107	0	0	0	535	9040626328	9040633370	9040633915	16161495951	16161493607	16161495957	24181	6020	7042	545	2749
18	68a3d5b2	1316158638	16736	16756	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161502019	16161504347	-	8412	-	-	-
19	68a3d5b2	1316159388	16757	16777	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	16161510435	16161512791	-	8416	-	-	-
