# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	2393f73a	749929600	42835	42856	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7949950952	7949953367	-	-	-	-	-
1	2393f73a	749930350	42857	42878	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7949959079	7949961486	-	8127	-	-	-
2	2393f73a	749931100	42879	42900	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7949968896	7949971297	-	9817	-	-	-
3	2393f73a	749931850	42901	42922	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7949975861	7949978272	-	6965	-	-	-
4	2393f73a	749932600	42923	42944	22	0	4	30586	0	0	110	0	0	0	713	829376651	829386930	829389178	7949987505	7949984917	7949987506	-	9056	10279	2248	3274
5	2393f73a	749933350	42945	42960	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7949990565	7949992316	-	5648	-	-	-
6	2393f73a	749934100	42961	42976	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950001006	7950002708	-	10441	-	-	-
7	2393f73a	749934850	42977	42992	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950010095	7950011777	-	9089	-	-	-
8	2393f73a	749935600	42993	43008	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950018334	7950020014	-	8239	-	-	-
9	2393f73a	749936350	43009	43030	22	0	9	29467	0	0	111	0	0	0	718	829418569	829428808	829431303	7950029966	7950026765	7950029967	41878	8431	10239	2495	3857
10	2393f73a	749937100	43031	43052	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950032853	7950035408	-	6088	-	-	-
11	2393f73a	749937850	43053	43074	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950044263	7950046705	-	11410	-	-	-
12	2393f73a	749938600	43075	43096	22	0	12	29958	0	0	110	0	0	0	721	829443711	829453647	829454725	7950053923	7950051455	7950053929	24839	7192	9936	1078	2980
13	2393f73a	749939350	43097	43112	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950059562	7950061319	-	8107	-	-	-
14	2393f73a	749940100	43113	43128	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950068638	7950070288	-	9076	-	-	-
15	2393f73a	749940850	43129	43144	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950075819	7950077495	-	7181	-	-	-
16	2393f73a	749941600	43145	43165	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950085025	7950087377	-	9206	-	-	-
17	2393f73a	749942350	43166	43187	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950093371	7950095787	-	8346	-	-	-
18	2393f73a	749943100	43188	43209	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950101337	7950103769	-	7966	-	-	-
19	2393f73a	749943850	43210	43231	22	0	19	30115	0	0	111	0	0	0	728	829502368	829511595	829512942	7950111975	7950109541	7950111976	57948	8204	9227	1347	3079
20	2393f73a	749944600	43232	43253	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950115872	7950118323	-	6331	-	-	-
21	2393f73a	749945350	43254	43269	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950127774	7950130374	-	11902	-	-	-
22	2393f73a	749946100	43270	43285	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950143525	7950145212	-	15751	-	-	-
23	2393f73a	749946850	43286	43301	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950151248	7950152944	-	7723	-	-	-
24	2393f73a	749947600	43302	43317	16	0	24	21055	0	0	87	0	0	0	733	829552647	829562409	829562913	7950161870	7950160209	7950161871	50814	8961	9762	504	2160
25	2393f73a	749948350	43318	43339	22	0	25	29522	0	0	112	0	0	0	734	829561031	829571777	829573260	7950172270	7950170543	7950172271	9368	10334	10746	1483	3192
26	2393f73a	749949100	43340	43361	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950176888	7950179299	-	6345	-	-	-
27	2393f73a	749949850	43362	43383	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950185301	7950187701	-	8413	-	-	-
28	2393f73a	749950600	43384	43405	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950193925	7950196375	-	8624	-	-	-
29	2393f73a	749951350	43406	43421	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950202546	7950204213	-	8621	-	-	-
30	2393f73a	749952100	43422	43437	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950209986	7950211668	-	7440	-	-	-
31	2393f73a	749952850	43438	43453	16	0	31	21093	0	0	87	0	0	0	740	829611320	829621342	829621827	7950220795	7950219123	7950220796	49565	9137	10022	485	2152
32	2393f73a	749953600	43454	43475	22	0	32	29569	0	0	112	0	0	0	741	829619727	829629400	829631075	7950229585	7950227215	7950229586	8058	8092	9673	1675	2884
33	2393f73a	749954350	43476	43497	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950235365	7950237777	-	8150	-	-	-
34	2393f73a	749955100	43498	43519	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950245159	7950247593	-	9794	-	-	-
35	2393f73a	749955850	43520	43535	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950258506	7950260210	-	13347	-	-	-
36	2393f73a	749956600	43536	43551	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950266524	7950268244	-	8018	-	-	-
37	2393f73a	749957350	43552	43567	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950277671	7950279368	-	11147	-	-	-
38	2393f73a	749958100	43568	43588	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950286548	7950289095	-	8877	-	-	-
39	2393f73a	749958850	43589	43610	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950293112	7950295512	-	6564	-	-	-
40	2393f73a	749959600	43611	43632	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	7950303389	7950306389	-	10277	-	-	-
