# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	ac8a3fca	937681310	47695	47706	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653672214	8653673421	-	-	-	-	-
1	ac8a3fca	937682060	47707	47728	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653682588	8653685026	-	10374	-	-	-
2	ac8a3fca	937682810	47729	47751	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653691135	8653693667	-	8547	-	-	-
3	ac8a3fca	937683560	47752	47774	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653698821	8653701344	-	7686	-	-	-
4	ac8a3fca	937684310	47775	47791	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653706919	8653708704	-	8098	-	-	-
5	ac8a3fca	937685060	47792	47808	17	0	4	22489	0	0	90	0	0	0	762	1533086020	1533096084	1533096583	8653717999	8653716199	8653718000	-	9280	10064	499	1906
6	ac8a3fca	937685810	47809	47825	17	0	5	22484	0	0	90	0	0	0	763	1533094449	1533103448	1533103955	8653725379	8653723586	8653725386	7364	7387	8999	507	1928
7	ac8a3fca	937686560	47826	47841	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653731984	8653733734	-	8398	-	-	-
8	ac8a3fca	937687310	47842	47857	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653741055	8653742796	-	9071	-	-	-
9	ac8a3fca	937688060	47858	47879	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653748938	8653751373	-	7883	-	-	-
10	ac8a3fca	937688810	47880	47902	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653757426	8653759929	-	8488	-	-	-
11	ac8a3fca	937689560	47903	47925	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653764604	8653767642	-	7178	-	-	-
12	ac8a3fca	937690310	47926	47948	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653771967	8653774483	-	7363	-	-	-
13	ac8a3fca	937691060	47949	47965	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653780266	8653782088	-	8299	-	-	-
14	ac8a3fca	937691810	47966	47981	16	0	13	22223	0	0	89	0	0	0	771	1533161461	1533168382	1533168881	8653790286	8653788527	8653790287	64934	8261	6921	499	1895
15	ac8a3fca	937692560	47982	47997	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653797551	8653799274	-	9024	-	-	-
16	ac8a3fca	937693310	47998	48019	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653805530	8653807986	-	7979	-	-	-
17	ac8a3fca	937694060	48020	48042	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653814083	8653816587	-	8553	-	-	-
18	ac8a3fca	937694810	48043	48065	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653822249	8653824775	-	8166	-	-	-
19	ac8a3fca	937695560	48066	48082	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653830498	8653832293	-	8249	-	-	-
20	ac8a3fca	937696310	48083	48098	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653841659	8653843396	-	11161	-	-	-
21	ac8a3fca	937697060	48099	48114	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653849545	8653851297	-	7886	-	-	-
22	ac8a3fca	937697810	48115	48136	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653857777	8653860211	-	8232	-	-	-
23	ac8a3fca	937698560	48137	48159	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653867001	8653869422	-	9224	-	-	-
24	ac8a3fca	937699310	48160	48182	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653874595	8653877122	-	7594	-	-	-
25	ac8a3fca	937700060	48183	48199	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653882999	8653884805	-	8404	-	-	-
26	ac8a3fca	937700810	48200	48216	17	0	25	22677	0	0	90	0	0	0	783	1533262044	1533269896	1533270862	8653891833	8653890023	8653891834	101514	7024	7852	966	1928
27	ac8a3fca	937701560	48217	48233	17	0	26	22514	0	0	90	0	0	0	784	1533270424	1533279510	1533280143	8653901429	8653899730	8653901430	9614	9707	9086	633	1910
28	ac8a3fca	937702310	48234	48249	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653907879	8653909611	-	8149	-	-	-
29	ac8a3fca	937703060	48250	48265	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653917298	8653919038	-	9419	-	-	-
30	ac8a3fca	937703810	48266	48287	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653925837	8653928295	-	8539	-	-	-
31	ac8a3fca	937704560	48288	48310	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653933193	8653935697	-	7356	-	-	-
32	ac8a3fca	937705310	48311	48333	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653939583	8653942098	-	6390	-	-	-
33	ac8a3fca	937706060	48334	48356	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653948775	8653951299	-	9192	-	-	-
34	ac8a3fca	937706810	48357	48373	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653958362	8653960169	-	9587	-	-	-
35	ac8a3fca	937707560	48374	48389	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653967373	8653969117	-	9011	-	-	-
36	ac8a3fca	937708310	48390	48405	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653975683	8653977418	-	8310	-	-	-
37	ac8a3fca	937709060	48406	48427	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653983629	8653986082	-	7946	-	-	-
38	ac8a3fca	937709810	48428	48450	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8653990825	8653993325	-	7196	-	-	-
39	ac8a3fca	937710560	48451	48473	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8654000479	8654003000	-	9654	-	-	-
40	ac8a3fca	937711310	48474	48496	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	8654007622	8654010478	-	7143	-	-	-
