# frame_no	ssrc	rtp_ts	seq_first	seq_last	seq_count	gaps	frame_id	frame_size_bytes	frame_type	qp	complexity	scene_change	gop_state	idr_inserted	frames_since_idr	capture_us	frame_ready_us	last_pkt_send_us	meta_recv_us	recv_first_us	recv_last_us	sender_ivl_us	recv_ivl_us	encode_dur_us	send_spread_us	latency_est_us
0	f5586978	226188550	931	952	22	0	0	29694	0	0	109	0	0	0	1038	4847129830	4847139714	4847140350	11967867831	11967865434	11967867838	-	-	9884	636	2809
1	f5586978	226189300	953	968	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967873114	11967874840	-	7680	-	-	-
2	f5586978	226190050	969	990	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967879674	11967882069	-	6560	-	-	-
3	f5586978	226190800	991	1006	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967889788	11967891498	-	10114	-	-	-
4	f5586978	226191550	1007	1028	22	0	4	29512	0	0	109	0	0	0	1042	4847163345	4847173148	4847173758	11967901264	11967898891	11967901265	33434	9103	9803	610	2802
5	f5586978	226192300	1029	1050	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967907311	11967909701	-	8420	-	-	-
6	f5586978	226193050	1051	1066	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967914998	11967916717	-	7687	-	-	-
7	f5586978	226193800	1067	1088	22	0	7	29375	0	0	109	0	0	0	1045	4847188492	4847196480	4847197411	11967924605	11967922226	11967924605	23332	7228	7988	931	2810
8	f5586978	226194550	1089	1110	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967932675	11967935068	-	10449	-	-	-
9	f5586978	226195300	1111	1126	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967940700	11967942437	-	8025	-	-	-
10	f5586978	226196050	1127	1148	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967948628	11967951027	-	7928	-	-	-
11	f5586978	226196800	1149	1164	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967957810	11967959534	-	9182	-	-	-
12	f5586978	226197550	1165	1185	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967965893	11967968243	-	8083	-	-	-
13	f5586978	226198300	1186	1207	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967973956	11967976344	-	8063	-	-	-
14	f5586978	226199050	1208	1223	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11967980982	11967982707	-	7026	-	-	-
15	f5586978	226199800	1224	1245	22	0	15	29431	0	0	109	0	0	0	1053	4847255541	4847264705	4847265287	11967992810	11967990441	11967992811	68225	9459	9164	582	2791
16	f5586978	226200550	1246	1267	22	0	16	30035	0	0	110	0	0	0	1054	4847263923	4847273056	4847273680	11968001230	11967998820	11968001231	8351	8379	9133	624	2860
17	f5586978	226201300	1268	1283	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968008001	11968009688	-	9181	-	-	-
18	f5586978	226202050	1284	1305	22	0	18	29423	0	0	109	0	0	0	1056	4847280695	4847290548	4847291154	11968018673	11968016297	11968018674	17492	8296	9853	606	2811
19	f5586978	226202800	1306	1327	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968024512	11968026922	-	8215	-	-	-
20	f5586978	226203550	1328	1343	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	11968032938	11968034627	-	8426	-	-	-
21	f5586978	226204300	1344	1365	22	0	21	29459	0	0	109	0	0	0	1059	4847305847	4847315259	4847315879	11968043394	11968041076	11968043395	24711	8138	9412	620	2821
